x1,y1
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
290,740
291,735
289,726
289,713
289.1696713,702.2675683
292.9703075,684.0739857
290.5270414,669.233298
288.8981972,661.9034995
289.9840933,652.1304348
288.8040245,630.034965
293.027972,621.979021
285.4195804,619.2937063
284.0769231,613.4755245
282.2867133,597.8111888
282.2867133,590.2027972
283.6293706,579.4615385
282.4988142,568.2911392
281.284585,557.3544304
283.7130435,543.5822785
280.8798419,535.4810127
280.0703557,528.1898734
281.0254507,515.7154601
281.5683987,504.4485684
283.4687169,493.4486874
283.1972428,477.0296925
284.0116649,469.2810925
280.2110286,456.2468841
282,449
279.3966066,440.4972156
282.6542948,426.9199151
282.0848644,407.1538462
282,397
283,386
281,370
278,351
276,341
274,325
273.4241782,313.330859
274,291
276,275
276,260
274,244
270.980912,230.3206046
272.0668081,216.9575822
273,203
274,188
272.0668081,177.8653234
270,167
269,160
269,152
269,142
275,132
275,121
276,108
278.0392365,98.05196182
284,83
281,71
283.5974026,50.79827089
286,34
283,18
283.4286964,7.041958042
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
